word	C	count	sigma_nor
t1	6.30955384069	13	2.23432607403
stars	6.26279263535	36	1.88631659574
m	6.25430609224	17	2.13854199706
floor	6.24963069003	7	2.36636103246
mechanics	6.22346126391	40	1.84579760827
c	6.21507426127	44	1.81377585911
man	6.20055474136	21	2.05833410041
ray	6.10833901386	17	2.11002507296
infinite	6.10547833416	12	2.21346306288
lines	6.06831831673	27	1.95161856287
simultaneously	6.06596693135	8	2.2988229956
square	6.06383250169	20	2.0493640863
piece	5.94939670313	7	2.29171311869
event	5.91140099832	27	1.92562590564
particular	5.90159937109	26	1.93605717917
laws	5.87367685876	51	1.72341067066
they	5.86693351068	47	1.74660270541
position	5.83467259771	45	1.75522060558
at	5.80881164786	147	1.45171210097
domain	5.76484303671	13	2.1185155685
spectral	5.66027816095	11	2.1374495109
cartesian	5.64307266844	11	2.13361205539
empirical	5.56527245055	14	2.05695576282
distance	5.55765539062	64	1.62213993192
system	5.48930431703	108	1.48987922801
simultaneity	5.48043177935	11	2.09733717542
term	5.37408800617	6	2.16178235072
y	5.37208172565	30	1.80617749712
inertial	5.35810714202	15	1.99639869255
formulation	5.3286675746	11	2.06348819475
density	5.32025361009	11	2.06161157224
force	5.27342238173	17	1.94691120858
s	5.26153218414	32	1.77065009779
conservation	5.25100220978	6	2.13026548061
propagation	5.19005878324	25	1.82726010682
maxwell	5.13905234526	10	2.03947798488
action	5.11444173294	9	2.05180778552
planets	5.03156937712	6	2.07407836326
acceleration	4.99059478424	11	1.98808557023
complete	4.98950977269	6	2.0633087446
all	4.90655841979	63	1.55013278492
ordinate	4.88151323221	60	1.55833157492
true	4.81394575672	11	1.94868636191
am	4.77972201482	8	1.98807639087
p	4.77015291519	18	1.83529652122
axioms	4.710589632	5	1.9921932098
science	4.70164681107	5	1.98983496756
photographs	4.69807231163	5	1.98889236392
variables	4.69330920125	5	1.98763632087
liquid	4.68356181633	7	1.9769854809
geometrical	4.65520269006	17	1.8261324397
atom	4.63717460761	5	1.97283350073
hypothesis	4.62947146333	15	1.84815208019
differences	4.61299487858	5	1.96645725114
three	4.60090983561	33	1.66089336641
displacement	4.59139702806	9	1.92890107716
classical	4.59098503572	28	1.69828375387
orbit	4.52133857237	8	1.92565299356
5	4.50275282709	7	1.93203049769
physical	4.41697774057	35	1.61946605966
ratio	4.39093242815	5	1.90789887743
signal	4.3548318739	5	1.89837907909
f	4.34765979867	10	1.85840329785
electron	4.3407870945	7	1.89176055969
limiting	4.33757553567	5	1.89382854341
newton	4.26307844089	23	1.68707282774
heavenly	4.24953181	5	1.87061121252
circumference	4.23341817813	5	1.86636201111
rigidly	4.23102171616	5	1.86573005863
squares	4.22772403546	8	1.85471804232
arrow	4.21552024222	7	1.86061515445
y1	4.21269285623	6	1.86440002746
z1	4.21258933159	6	1.86437351935
ideas	4.20110528153	13	1.7860506006
rotating	4.19319835637	10	1.82306172503
mechanical	4.18942107017	6	1.85844114447
defined	4.13336836193	9	1.82127204437
railway	4.11659910249	27	1.62832493886
bodies	4.09472558569	50	1.49944836647
his	4.08079230656	21	1.67321595759
orbital	4.07486520751	5	1.82455123181
book	4.04156649043	9	1.79970014862
velocities	4.03635829871	13	1.75102388325
places	4.01168765714	9	1.79267912534
would	3.96274070888	69	1.42364171186
positions	3.94323751259	12	1.74285477663
on	3.93688146815	191	1.26880978768
uniform	3.87293870132	19	1.65370826006
with	3.86206784369	359	1.19620733704
eclipse	3.85013727185	9	1.75471750198
statements	3.84956623698	7	1.76962711106
magnitudes	3.84607166988	11	1.73281496252
z	3.82243780726	25	1.59406824226
as	3.819881104	282	1.21743352396
royal	3.80112442626	4	1.73063705404
important	3.77708077605	13	1.6958991074
revolution	3.77705576944	4	1.72411107731
measured	3.77393100051	12	1.70600548273
events	3.76150522321	34	1.52672856973
9	3.74627601028	4	1.71576545198
correct	3.73832756474	4	1.71361031008
g	3.73629542093	28	1.55865708309
fizeau	3.72866392145	7	1.73956687131
vacuo	3.72712779661	15	1.6645632227
answer	3.72333940764	14	1.67403919087
matter	3.6987311784	25	1.57297513244
8	3.69570394138	4	1.70205333886
amount	3.68782204035	20	1.61020039254
non	3.68589413494	21	1.60147091298
rest	3.68520655051	38	1.49511278555
planes	3.66897771468	4	1.69480678851
habit	3.66793543141	4	1.69452418377
dependent	3.66010488498	5	1.71517799054
domains	3.65991728862	4	1.69235014416
mirrors	3.64723179233	4	1.68891059811
photograph	3.6452863499	4	1.68838311075
neighbouring	3.64210041774	7	1.71804437472
becomes	3.64197858587	8	1.71320657171
is	3.64020933448	510	1.15622829048
minkowski	3.63856583345	12	1.67654346876
